HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457904.95461,2017-05-31.4538222,bd,1.48,15.491,11.906,0.009,66.282,0.533,V
2457904.95588,2017-05-31.4550957,bd,1.50,15.488,11.908,0.009,66.194,0.530,V
2457904.95716,2017-05-31.4563725,bd,1.52,15.481,11.899,0.009,66.724,0.539,V
2457907.94963,2017-06-03.4487194,bd,1.66,15.441,11.893,0.009,67.101,0.553,V
2457907.95091,2017-06-03.4499930,bd,1.57,15.451,11.907,0.009,66.243,0.563,V
2457907.95217,2017-06-03.4512564,bd,1.53,15.477,11.914,0.009,65.816,0.545,V
2457910.08763,2017-06-05.5866236,bd,1.53,15.512,11.891,0.009,67.187,0.532,V
2457910.08890,2017-06-05.5878952,bd,1.49,15.536,11.904,0.009,66.403,0.528,V
2457910.09017,2017-06-05.5891589,bd,1.54,15.503,11.900,0.009,66.630,0.538,V
2457910.91305,2017-06-06.4120141,bd,1.67,15.365,11.892,0.010,67.174,0.602,V
2457910.91433,2017-06-06.4132891,bd,1.62,15.377,11.889,0.010,67.343,0.593,V
2457910.91561,2017-06-06.4145700,bd,1.62,15.352,11.906,0.010,66.323,0.599,V
2457914.97808,2017-06-10.4768640,bd,1.48,15.328,11.904,0.010,66.430,0.618,V
2457914.97935,2017-06-10.4781364,bd,1.60,15.433,11.906,0.009,66.310,0.571,V
2457914.98065,2017-06-10.4794331,bd,1.53,15.374,11.906,0.010,66.315,0.608,V
2457920.96905,2017-06-16.4676101,bd,1.50,15.489,11.916,0.009,65.670,0.544,V
2457920.97032,2017-06-16.4688746,bd,1.47,15.523,11.925,0.009,65.128,0.521,V
2457926.04964,2017-06-21.5480009,bd,1.53,15.516,11.905,0.009,66.366,0.534,V
2457926.05090,2017-06-21.5492640,bd,1.55,15.525,11.913,0.009,65.912,0.526,V
2457926.05217,2017-06-21.5505315,bd,1.49,15.511,11.905,0.009,66.393,0.520,V
2457930.96084,2017-06-26.4590320,bd,1.51,15.541,11.916,0.009,65.669,0.509,V
2457930.96219,2017-06-26.4603807,bd,1.54,15.540,11.908,0.009,66.183,0.516,V
2457932.96014,2017-06-28.4582599,bd,1.72,15.491,11.897,0.009,66.829,0.537,V
2457936.84936,2017-07-02.3473563,bd,2.39,15.263,11.886,0.011,67.512,0.653,V
2457936.85064,2017-07-02.3486297,bd,2.32,15.311,11.882,0.010,67.772,0.636,V
2457936.85191,2017-07-02.3499043,bd,2.30,15.272,11.903,0.011,66.505,0.647,V
