MJD,V-mag,SE,air.mass
58020.21962,12.0877,0.0013,1.123
58020.22013,12.0847,0.0013,1.125
58020.22064,12.0858,0.0014,1.126
58020.22115,12.0915,0.0014,1.127
58020.22164,12.0898,0.0014,1.129
58020.22215,12.0832,0.0013,1.130
58020.22267,12.0844,0.0013,1.131
58020.22318,12.0888,0.0013,1.132
58020.22369,12.0840,0.0013,1.134
58020.22420,12.0843,0.0012,1.135
58020.22471,12.0877,0.0012,1.136
58020.22522,12.0789,0.0012,1.138
58020.22573,12.0922,0.0012,1.139
58020.22624,12.0826,0.0012,1.141
58020.22675,12.0829,0.0013,1.142
58020.22725,12.0844,0.0013,1.143
58020.22772,12.0854,0.0014,1.145
58020.22823,12.0890,0.0014,1.146
58020.22873,12.0891,0.0015,1.147
58020.22924,12.0844,0.0015,1.149
58020.22975,12.0907,0.0015,1.150
58020.23024,12.0780,0.0015,1.152
58020.23074,12.0918,0.0015,1.153
58020.23125,12.0858,0.0015,1.155
58020.23176,12.0863,0.0014,1.156
58020.23227,12.0842,0.0014,1.158
58020.23277,12.0920,0.0013,1.159
58020.23328,12.0832,0.0012,1.161
58020.23378,12.0856,0.0011,1.162
58020.23429,12.0863,0.0010,1.164
58020.23479,12.0901,0.0009,1.165
58020.23530,12.0856,0.0009,1.167
58020.23581,12.0844,0.0009,1.168
58020.23632,12.0854,0.0009,1.170
58020.23683,12.0843,0.0009,1.172
58020.23733,12.0871,0.0009,1.173
58020.23782,12.0827,0.0010,1.175
58020.23833,12.0884,0.0010,1.176
58020.23884,12.0833,0.0010,1.178
58020.23936,12.0878,0.0010,1.180
58020.23986,12.0806,0.0010,1.181
58020.24037,12.0887,0.0010,1.183
58020.24088,12.0837,0.0010,1.185
58020.24139,12.0838,0.0011,1.186
58020.24191,12.0963,0.0011,1.188
58020.24242,12.0859,0.0011,1.190
58020.24293,12.0864,0.0012,1.192
58020.24344,12.0836,0.0012,1.193
58020.24395,12.0915,0.0012,1.195
58020.24441,12.0915,0.0012,1.197
58020.24492,12.0893,0.0012,1.198
58020.24542,12.0748,0.0012,1.200
58020.24593,12.0845,0.0011,1.202
58020.24644,12.0867,0.0011,1.204
58020.24694,12.0831,0.0010,1.206
58020.24747,12.0844,0.0009,1.208
58020.24797,12.0792,0.0009,1.209
58020.24847,12.0765,0.0008,1.211
58020.24897,12.0799,0.0008,1.213
58020.24948,12.0879,0.0008,1.215
58020.24998,12.0813,0.0008,1.217
58020.25047,12.0911,0.0009,1.219
58020.25098,12.0863,0.0010,1.221
58020.25149,12.0878,0.0010,1.223
58020.25200,12.0843,0.0011,1.225
58020.25251,12.0889,0.0012,1.227
58020.25302,12.0856,0.0013,1.229
58020.25354,12.0872,0.0014,1.231
58020.25404,12.0863,0.0016,1.233
58020.25455,12.0828,0.0017,1.235
58020.25506,12.0852,0.0019,1.237
58020.25557,12.0827,0.0021,1.239
58020.25608,12.0888,0.0023,1.241
58020.25659,12.0866,0.0025,1.243
58020.25711,12.0834,0.0026,1.245
58020.25762,12.0859,0.0026,1.247
58020.25811,12.0785,0.0026,1.249
58020.25863,12.0798,0.0025,1.251
58020.25914,12.0848,0.0024,1.253
58020.25964,12.0902,0.0023,1.256
58020.26015,12.0851,0.0021,1.258
58020.26066,12.0866,0.0019,1.260
58020.26117,12.0869,0.0017,1.262
58020.26168,12.0883,0.0015,1.264
58020.26219,12.0814,0.0013,1.267
58020.26269,12.0843,0.0013,1.269
58020.26321,12.0881,0.0013,1.271
58020.26370,12.0949,0.0013,1.273
58020.26421,12.0916,0.0013,1.276
58020.26472,12.0884,0.0013,1.278
58020.26522,12.0868,0.0013,1.280
58020.26573,12.0871,0.0013,1.283
58020.26624,12.0873,0.0013,1.285
58020.26671,12.0865,0.0013,1.287
58020.26722,12.0839,0.0013,1.290
58020.26772,12.0918,0.0012,1.292
58020.26822,12.0872,0.0012,1.294
58020.26873,12.0915,0.0012,1.297
58020.26924,12.0901,0.0012,1.299
58020.26975,12.0852,0.0012,1.302
58020.27025,12.0958,0.0012,1.304
58020.27075,12.0965,0.0012,1.307
58020.27125,12.0878,0.0011,1.309
58020.27176,12.0843,0.0011,1.312
58020.27227,12.0836,0.0011,1.314
58020.27278,12.0778,0.0011,1.317
58020.27328,12.0864,0.0010,1.319
58020.27377,12.0927,0.0010,1.322
58020.27428,12.0882,0.0010,1.325
58020.27478,12.0836,0.0011,1.327
58020.27530,12.0752,0.0011,1.330
58020.27581,12.0888,0.0012,1.333
58020.27632,12.0853,0.0013,1.335
58020.27683,12.0894,0.0015,1.338
58020.27734,12.0835,0.0016,1.341
58020.27786,12.0817,0.0017,1.344
58020.27836,12.0963,0.0017,1.346
58020.27885,12.0833,0.0018,1.349
58020.27935,12.0842,0.0018,1.352
58020.27987,12.0809,0.0018,1.355
58020.28037,12.0930,0.0017,1.357
58020.28088,12.0876,0.0016,1.360
58020.28139,12.0843,0.0015,1.363
58020.28189,12.0919,0.0015,1.366
58020.28240,12.0855,0.0014,1.369
58020.28291,12.0916,0.0013,1.372
58020.28337,12.0817,0.0012,1.374
58020.28387,12.0813,0.0011,1.377
58020.28436,12.0808,0.0011,1.380
58020.28487,12.0930,0.0010,1.383
58020.28537,12.0913,0.0010,1.386
58020.28587,12.0781,0.0010,1.389
58020.28638,12.0918,0.0010,1.392
58020.28689,12.0939,0.0010,1.395
58020.28740,12.0853,0.0010,1.399
58020.28789,12.0837,0.0010,1.402
58020.28840,12.0819,0.0010,1.405
58020.28891,12.0867,0.0010,1.408
58020.28942,12.0850,0.0010,1.411
58020.28993,12.0877,0.0010,1.414
58020.29044,12.0928,0.0010,1.418
58020.29094,12.0890,0.0010,1.421
58020.29146,12.0845,0.0010,1.424
58020.29196,12.0811,0.0010,1.427
58020.29247,12.0871,0.0010,1.431
58020.29297,12.0887,0.0010,1.434
58020.29347,12.0819,0.0010,1.437
